prop,types_of_units,amenities,income_requirements,rent_occupancy,how_to_apply,,
"Crescent Cov 420 Berry Stree San Francisco, CA 94158 (415) 371-0012 chinatowncdc.or CCDC","Familie Studios (80), 1BR (90),
2BR (66)","Modern kitchen Stylish bath Ample closet space Community center Community room Fitness cente Game roo Gated community Shuttle service Laundry facilities Parking","Minimum income: Studios - $26,55 1B Maximum income: Studios - $35,450","Studios - $84 1BR - $95 2BR - $1,066","Download application at chinatowncdc.or Pick up application a Crescent Cove or ADRC",,
"Hamlin Hote 385 Eddy Stree San Francisco, CA 94102 (415) 567-1363 chinatowncdc.or CCDC","Individual SRO units (67)",Support services Shared bath Shared kitchens,"Minimum income Maximum income:","Rent dependant on incom Section 8 accepted","Download application at chinatowncdc.org",,
"William Penn Hote 160 Eddy S SF, CA. 94102 (415) 775-5373 chinatowncdc.or CCDC","Individual SRO units","Shared baths Limited units with individual baths Community kitchen On-site support services","Minimum income: Non Maximum income $36,050",$460-$541/month,http://www.chinatowncdc.org/,,
"Britton Cour 1250 Sunnydale Avenu San Francisco, CA 94134 (415) 239-1977 mercyhousing.or Mercy Housing","Individuals & Familie 2BR, 3BR, & 4B units (92)","Updated kitchen Updated baths","Minimum income 2 BR $2,700 Mont 3 BR Dependent on incom 4 BR Dependent on incom Maximum income:","Rent dependent on income Section 8 accepted","WAITLIST OPEN Applications available at Britton Court or send a self addressed envelope to Britton Court Pick up application at th ADRC",,
"Carter Terrac 530 Carter Stree San Francisco, CA 94134 (415) 584-4800 mercyhousing.or Mercy Housing","Individuals & Familie 1BR (29), 2BR (40),  3BR (32) unit Accepting applications for 50% and 60% AMI",Picnic area,"Minimum income $27,25 Maximum income $84,12 1BR - $1,055.0 2BR - $1,271 3BR - $1,470.00","50%AM 1BR - $1,05 2BR - $1,27 3BR - $1,47 Occupancy limits 1BR - 3 peopl 2BR - 5 peopl 3BR - 7 people","WAITLIST OPEN Applications available at Carter Terrace or send a self addressed envelope to Carter Terrac Pick up application at th ADRC",,
"Heritage Home 243 Rey Stree San Francisco, CA 94134 (415) 333-9956 mercyhousing.or Mercy Housing","Individuals & Familie 1BR (28), 2BR (40),
3BR (44), & 4BR (21 units","Washer and dryer Dishwasher Refrigerato Stove Furnace Water heater","50% to 60% AM 50% AM 1BR - $1,158.0 2BR - $1,390.0 3BR - $1,605.0 4BR - Ba $1,605.00","Rent 1BR - $670-$134 2BR - $804-$160 3BR - $929-$182 4BR - $1037-$207 Occupancy limits 1BR - 3 peopl 2BR - 5 peopl 3BR - 7 peopl 4BR - 9 people",mailto:plam@mercyhousing.org,,
"421 Turk Street Apartment 429 Turk Stree San Francisco, CA 94102 (415) 928-5910 asianinc.or Asian Inc.","Individuals & Familie 1BR, 2BR, & 3BR (29 7 3BR units are project- based Section 8 units",,Minimum and maximum income depend on unit,"Rent depends on unit and income Call Asian Inc. for more information","Download application at asianinc.or Pick up application at ADRC",,
"Hotel Isabe 1095 Mission Stree San Francisco, CA 9410 (415) 957-022 todco.or TODCO","Individual SRO unit Units are reserved for Shelter Plus care and Direct Access to Housing clients","Sink Microwave Refrigerato 2-burner stov Closet Single bed Community kitchen","Minimum income: Non Maximum income 1 person - $34,600","30% of incom Section 8 accepted","Call Linsley Johnson at (415) 957-0227 for information Certification of Homelessness is require Pick up an application at: The Knox Hote 241 6th Stree San Francisco, CA 9410 Required Documents Birth Cert., Perm. Resident Card or Naturalization Cert. Cert. of Homelessnes State ID, Social Securit Card, & Income Verification",,
"Bayanihan Hous 88 Sixth Stree San Francisco CA 9410 (415) 957-022 todco.or TODCO","Individuals & Couple SRO units","Shared baths Sink Microwave Refrigerato 2-burner stove Single bed Community kitchen Utilities included","Minimum income $866.40/mont Maximum income 1 person - $30,27 2 people - $34,580","$545/mont $545/mont Section 8 accepted","Call Linsley Johnson at (415) 957-0227 for information.",,
"All Hallows Apartment 6 Baldwin Cour San Francisco, CA 94124 (415) 647-8439 aimco.co AIMCO","Families & Senior Studios, 1BR, 2BR,
3BR & 4BR","Laundry facilit Playgroun Near public transportation","Minimum income 3 X Ren Maximum income:","Income 3 X Ren Studio - $1,466.0 1BR - $1,693.0 2BR - $1,997.0 3BR - $2,477.0 4BR - $2,780.0 Section 8 accepted","Pick up application at 6 Baldwin Cour San Francisco, CA 94124 (415) 647-8439",,
"Bermuda Gardens Apartment 1475 167th Avenu San Leandro, CA 94578 (510) 276-4289 mercyhousing.or Mercy","Multifamil 1BR & 2BR units (80)",Swimming Pool Playground Laundry Facilities Community Center,"1 BR $1,700. _ба 2,10 2 BR $2,436. _ба 2,628","1 BR - $850-$875 2 BR - $1,015-$1,095","Apply at 1475 167th Ave San Leandro, Ca 94578 (510) 276-4289 or Email",,
"Casa Verd 2398 East 14th Stree San Leandro, CA 94577 (510) 357-8251 mercyhousing.or Mercy","Multifamil Studio (66) & 1BR (2 units",Laundry Facilities Computer Lab Gated Community In-house Service Coordinator Common Room,"Minimum income Studio & 1 B 1person $19,650. _б 21,475. Yea Studio & 1 B 2 people $22,440 _б 33,660. Yea Studio $1,175 _б 1782.mont 1 BR $1,250. _ба 1782. mont Maximum income $22,400. _ба 33,660.","Studio $470., 525.,
634., 713 1 BR $500. & 750. Section 8 Accepted OCCUPANCY Studio  1 BR 3","Apply at 2398 E 14th Stree San Leandro, Ca 94577 (510) 357-8251 or Email, Fax, Mail",,
"Fremont Oak Garden 2681 Driscoll Roa Fremont, CA 94539 sahahomes.or SAHA","Seniors 55 1BR",Amenities for the deaf and hard of hearing,"Minimum income $10,99 Maximum income 1 Person - $39,30 2 Persons - $44,52 3 Persons - $50,520",Please contact property.,Download application at: sahahomes.org or pick up application at ADRC,,
"Helios Corne 1531 University Avenu Berkeley, CA 94713 sahahomes.or SAHA",Seniors 62+,"Convenient to transportatio On-site food pantr Green building","Minimum income Studio - $17,30 1BR - $18,45 2BR - $22,08 Maximum income 1 Person - $39,30 2 Persons - $44,88 3 Persons - $50,52 4 Persons - $56,10 5 Persons - $60,600","$721-$926/mont Section 8 accepte Occupancy limits: Studio - 2 person 1BR - 3 person 2BR - 5 persons","Download application at sahahomes.org or pick up application at ADRC",,
"Kenneth Henry Cour 4675 Foothill Boulevar Oakland, CA 94605 sahahomes.or SAHA",Individuals & Families,Computer-learning center Community room Community events,"Minimum income 1BR - $17,40 2BR - $17,66 3BR - $20,40 4BR - $21,67 Maximum income 1 person - $37,50 2 people - $42,84 3 people - $48,18 4 people - $53,52 5 people - $57,84 6 people - $62,10 7 people - $66,42 8 people - $70,68 9 people - $74,940","Please contact property Section 8 accepted",Download application at: sahahomes.org or pick up application at ADRC,,
"Merritt Crossing Senior Apartment 609 Oak Stree Oakland, C sahahomes.or SAHA","Seniors 55 Accepting applications for 1BR Project-Based Section 8 apartment for homeless applicants living with AIDS/HI Some units are reserved for PBS8 who qualify under Oakland Housing Authority_бщs screening process, are currently homeless, qualify under the Mental Health Services Act (MHSA), homeless households who qualify with the Alamed County Behavioral Health Care Services (BHCS); or households living with AIDS/HIV.",,"Minimum income Studio - $11,32 1BR - $18,40 Maximum income 1 Person - $31,25 2 Persons - $35,70 3 Persons - $40,15 4 Persons - $44,60 5 Persons - $48,200","Please contac property.","Download application at sahahomes.org or pick up application at ADRC",,
